시도별,주요 업종별,시점,사업체수 (개),종사자수 (명),매출액 (백만원),영업비용 (백만원),매출원가 (백만원),인건비 (백만원),임차료 (백만원),기타영업비용 (백만원),연간급여액 (백만원)
인천광역시,가정용 세탁업,2018,217,362,19300,16105,-,1774,2114,12217,1542
인천광역시,가정용 세탁업,2019,220,372,19132,13745,4650,2139,1984,4973,1745
인천광역시,가정용 세탁업,2020,211,286,17531,16606,8778,1421,1277,5129,929
인천광역시,기타 프랜차이즈,2018,1168,4459,399234,366421,-,57659,28795,279967,53803
인천광역시,기타 프랜차이즈,2019,1241,5108,518692,466685,298253,70505,42775,55151,59871
인천광역시,기타 프랜차이즈,2020,1295,4904,462038,430273,263354,59958,30463,76498,55613
광주광역시,체인화 편의점,2018,1048,4503,475498,463004,-,35564,12551,414889,30557
광주광역시,체인화 편의점,2019,1039,4645,537915,505728,369784,39456,21507,74980,38261
광주광역시,체인화 편의점,2020,1125,4591,527655,526297,372732,42925,18725,91915,39556
광주광역시,문구용품 및 회화용품 소매업,2018,42,128,16660,15621,-,1287,1158,13176,1206
광주광역시,문구용품 및 회화용품 소매업,2019,45,126,16454,14967,10655,1549,1651,1113,1493
광주광역시,문구용품 및 회화용품 소매업,2020,43,129,17602,16425,12204,1102,1195,1924,980
광주광역시,의약품 및 의료용품 소매업,2018,120,351,107229,95500,-,7792,2792,84916,6769
광주광역시,의약품 및 의료용품 소매업,2019,128,412,115159,102785,84575,7529,3971,6710,7286
광주광역시,의약품 및 의료용품 소매업,2020,134,408,126434,115508,95831,8555,2811,8311,8044
광주광역시,안경 및 렌즈 소매업,2018,126,331,32779,28803,-,4104,4147,20552,3698
광주광역시,안경 및 렌즈 소매업,2019,132,357,36788,30724,17661,5408,4880,2774,5212
광주광역시,안경 및 렌즈 소매업,2020,141,311,33626,31184,17181,4361,4370,5272,3896
광주광역시,한식 음식점업,2018,711,3056,210932,193720,-,33740,16773,143207,32374
광주광역시,한식 음식점업,2019,752,3102,237828,201229,119866,37057,21534,22772,36406
광주광역시,한식 음식점업,2020,904,2900,223436,214311,116947,37251,16959,43154,34710
광주광역시,외국식 음식점업,2018,197,1059,64574,58827,-,12627,4484,41716,11913
광주광역시,외국식 음식점업,2019,205,1085,81445,72487,39138,15933,6203,11213,15342
광주광역시,외국식 음식점업,2020,228,1033,87273,81475,44449,15859,6797,14370,15403
광주광역시,제과점업,2018,190,870,78518,72419,-,7481,5014,59924,7144
광주광역시,제과점업,2019,182,814,74264,66702,47516,7601,5646,5939,7504
광주광역시,제과점업,2020,189,789,77976,73840,50953,7512,6117,9259,7415
광주광역시,"피자, 햄버거, 샌드위치 및 유사 음식점업",2018,376,1722,101832,93768,-,16077,7276,70415,14859
광주광역시,"피자, 햄버거, 샌드위치 및 유사 음식점업",2019,375,1786,109400,95913,53629,18105,9190,14988,17349
광주광역시,"피자, 햄버거, 샌드위치 및 유사 음식점업",2020,434,1736,122116,113159,63493,16307,7897,25463,15179
광주광역시,치킨전문점,2018,685,1846,123049,110884,-,10565,5531,94788,9763
광주광역시,치킨전문점,2019,696,2014,159369,135275,97821,14580,9853,13020,14564
광주광역시,치킨전문점,2020,787,1891,167575,148657,95910,11690,5699,35358,11070
광주광역시,"김밥, 기타 간이음식점 및 포장 판매점",2018,440,1532,74461,67474,-,12166,5114,50194,11065
광주광역시,"김밥, 기타 간이음식점 및 포장 판매점",2019,391,1430,80434,69071,40345,13662,6789,8275,13551
광주광역시,"김밥, 기타 간이음식점 및 포장 판매점",2020,487,1417,91222,79531,43874,12174,5432,18051,11068
광주광역시,생맥주 및 기타 주점업,2018,569,1326,79258,70260,-,8925,6708,54627,8529
광주광역시,생맥주 및 기타 주점업,2019,408,1007,65033,53118,29912,8620,7913,6672,8437
광주광역시,생맥주 및 기타 주점업,2020,394,857,53345,48264,26157,7002,4314,10791,6148
광주광역시,커피 및 기타 비알코올 음료점업,2018,554,2605,99695,90156,-,19293,13159,57704,18506
광주광역시,커피 및 기타 비알코올 음료점업,2019,605,3097,135193,111683,50373,30994,17909,12407,30680
광주광역시,커피 및 기타 비알코올 음료점업,2020,706,2841,128277,114556,45623,26192,16334,26407,24816
광주광역시,자동차 전문 수리업,2018,175,648,79170,71085,-,16688,1179,53218,14220
광주광역시,자동차 전문 수리업,2019,172,712,81173,72453,44874,17316,2332,7931,16656
광주광역시,자동차 전문 수리업,2020,173,716,86639,80149,45287,19143,2311,13408,17965
광주광역시,두발 미용업,2018,122,555,24551,21863,-,7852,3029,10982,7093
광주광역시,두발 미용업,2019,158,676,30983,24978,7060,10166,3800,3952,9640
광주광역시,두발 미용업,2020,164,529,24596,21903,5352,6988,2927,6637,6588
광주광역시,가정용 세탁업,2018,110,191,9687,8417,-,1027,886,6504,886
광주광역시,가정용 세탁업,2019,128,269,13979,10981,3938,1918,1755,3371,1713
광주광역시,가정용 세탁업,2020,137,200,11436,9100,1232,883,1277,5709,843
광주광역시,기타 프랜차이즈,2018,718,2573,311963,303938,-,32317,15020,256601,30088
광주광역시,기타 프랜차이즈,2019,818,2839,362868,335153,248629,41308,18505,26712,39649
광주광역시,기타 프랜차이즈,2020,922,2885,344401,322448,197651,39299,25791,59707,36206
대전광역시,체인화 편의점,2018,1100,4952,530978,512125,-,40690,16799,454636,33105
대전광역시,체인화 편의점,2019,1100,5195,603502,581434,427828,43606,18384,91616,40503
대전광역시,체인화 편의점,2020,1266,5088,595144,599037,421402,53430,14140,110065,46673
대전광역시,문구용품 및 회화용품 소매업,2018,28,85,14355,13008,-,1175,554,11279,1033
대전광역시,문구용품 및 회화용품 소매업,2019,30,92,14950,13385,10171,1051,1049,1113,929
대전광역시,문구용품 및 회화용품 소매업,2020,29,85,14115,12859,9688,1050,641,1479,834
대전광역시,의약품 및 의료용품 소매업,2018,93,355,124517,113775,-,8550,2736,102489,7322
대전광역시,의약품 및 의료용품 소매업,2019,99,343,89218,81916,63426,8786,2890,6814,7027
대전광역시,의약품 및 의료용품 소매업,2020,101,335,97044,88732,73547,6850,2904,5430,6410
대전광역시,안경 및 렌즈 소매업,2018,118,311,36455,32432,-,5755,3740,22937,5331
대전광역시,안경 및 렌즈 소매업,2019,107,290,37622,31907,18812,5128,3622,4345,4754
대전광역시,안경 및 렌즈 소매업,2020,110,296,34308,30798,17037,5000,3380,5381,4768
대전광역시,한식 음식점업,2018,988,4167,260931,235629,-,45069,21907,168653,42571
대전광역시,한식 음식점업,2019,931,3661,228083,193130,103734,43194,22139,24063,42621
대전광역시,한식 음식점업,2020,1051,3392,213996,202856,108181,39358,16068,39248,36948
대전광역시,외국식 음식점업,2018,204,1141,78680,71101,-,16359,6052,48690,15156
대전광역시,외국식 음식점업,2019,199,1022,79194,72814,39628,15577,6297,11312,14672
대전광역시,외국식 음식점업,2020,223,1007,73543,69722,33472,15286,5285,15679,14936
대전광역시,제과점업,2018,229,1087,85260,79415,-,8710,5724,64981,8208
대전광역시,제과점업,2019,238,1115,74361,67849,42409,11019,6698,7722,10546
대전광역시,제과점업,2020,253,1115,79577,75369,48652,10350,6643,9724,9851
대전광역시,"피자, 햄버거, 샌드위치 및 유사 음식점업",2018,440,2350,119571,111159,-,20965,8794,81400,19029
대전광역시,"피자, 햄버거, 샌드위치 및 유사 음식점업",2019,449,2339,139548,120905,69130,22969,9918,18888,22417
대전광역시,"피자, 햄버거, 샌드위치 및 유사 음식점업",2020,486,2112,146254,134046,70319,24841,9050,29835,22267
대전광역시,치킨전문점,2018,854,2144,130713,111641,-,9900,7699,94042,8520
대전광역시,치킨전문점,2019,786,2164,148394,126030,86199,11379,8526,19925,11245
대전광역시,치킨전문점,2020,842,2061,150313,132567,87031,12319,7732,25484,10795
대전광역시,"김밥, 기타 간이음식점 및 포장 판매점",2018,416,1377,76242,68057,-,10630,6307,51120,9637
대전광역시,"김밥, 기타 간이음식점 및 포장 판매점",2019,413,1349,76924,66685,36287,12023,8921,9454,11732
대전광역시,"김밥, 기타 간이음식점 및 포장 판매점",2020,493,1410,90706,80320,43789,13185,7072,16274,12567
대전광역시,생맥주 및 기타 주점업,2018,387,1144,66716,58017,-,8263,5810,43944,7331
대전광역시,생맥주 및 기타 주점업,2019,330,954,59014,50578,28188,8387,5991,8013,8073
대전광역시,생맥주 및 기타 주점업,2020,336,861,50130,44636,21572,7506,4777,10781,7095
대전광역시,커피 및 기타 비알코올 음료점업,2018,523,2220,97627,88794,-,18615,12391,57788,17483
대전광역시,커피 및 기타 비알코올 음료점업,2019,534,2335,108773,95007,44578,21199,14917,14314,20849
대전광역시,커피 및 기타 비알코올 음료점업,2020,552,2103,99630,88424,34650,20799,11574,21401,17657
대전광역시,자동차 전문 수리업,2018,234,715,87597,78416,-,17228,1932,59256,13369
대전광역시,자동차 전문 수리업,2019,239,762,92979,85374,49975,17617,3658,14123,16395
대전광역시,자동차 전문 수리업,2020,173,565,68600,60102,32458,14407,1378,11859,13328
대전광역시,두발 미용업,2018,113,425,17020,14690,-,4400,2127,8163,3712
대전광역시,두발 미용업,2019,125,448,18857,15712,3815,5961,2700,3237,5089
대전광역시,두발 미용업,2020,136,473,21787,22376,7623,5894,2822,6038,4951
대전광역시,가정용 세탁업,2018,126,250,13352,11134,-,1690,1033,8411,1262
대전광역시,가정용 세탁업,2019,139,288,16920,13733,2707,2619,2008,6398,2321
대전광역시,가정용 세탁업,2020,99,163,10203,9519,1979,929,984,5627,836
대전광역시,기타 프랜차이즈,2018,699,2417,201787,187548,-,26322,13523,147703,23529
